-157.83906,21.27018,2.21
-157.83816,21.27087,1.77
-157.8371,21.27213,1.9
-157.8401,21.2676,1.23
-157.84062,21.26969,0.94
-157.83826,21.27099,1.56
-157.83998,21.26529,1.85
-157.84065,21.2647,2.2
-157.83976,21.26641,1.54
-157.84243,21.2652,1.88
-157.84467,21.26756,1.77
-157.83526,21.25409,0.94
-157.83187,21.2518,1.81
-157.7152,21.4278,0.56
-157.704,21.4239,2.84
-157.7124,21.4364,1.57
-157.7015,21.4293,3.04
-157.6941,21.4226,3.91
-157.6943,21.422,4.43
-157.7012,21.4221,3.97
-157.7106,21.4354,4.95
-157.7116,21.4393,2.36
-157.7144,21.4268,2.21
-157.7075,21.4188,2.31
-157.6973,21.4214,2.57
-157.7123,21.4302,4.75
-157.84161,21.263,3.44
-157.83978,21.2684,1.61
-157.83955,21.26771,2.32
-157.83931,21.26935,1.63
-157.84054,21.26891,1.76
-157.84129,21.26406,2.73
-157.83906,21.27018,1.78
-157.83816,21.27087,1.89
-157.83749,21.2716,1.36
-157.8371,21.27213,1.78
-157.8401,21.2676,1.86
-157.84062,21.26969,1.22
-157.83826,21.27099,1.77
-157.83998,21.26529,2.48
-157.84065,21.2647,2.41
-157.83976,21.26641,2.4
-157.84243,21.2652,2.15
-157.84467,21.26756,1.97
-157.83526,21.25409,0.98
-157.83187,21.2518,2.79
-157.83978,21.2684,1.67
-157.83955,21.26771,1.58
-157.84054,21.26891,1.19
-157.84129,21.26406,2.62
-157.83906,21.27018,2.02
-157.83749,21.2716,1.39
-157.84243,21.2652,1.57
-157.84467,21.26756,0.83
-157.83526,21.25409,1.04
-157.71474,21.41906,1.52
-157.71102,21.42295,3.47
-157.70658,21.4212,2.98
-157.70626,21.42683,5.38
-157.71304,21.43994,1.79
-157.71268,21.43604,2.72
-157.71339,21.4276,2.71
-157.71419,21.43002,1.86
-157.70111,21.42212,4.37
-157.69675,21.42202,4.95
-157.71099,21.42846,4.93
-157.70473,21.42339,4.3
-157.70106,21.42405,3.5
-158.22934,21.4716,1.07
-158.23158,21.47048,0.63
-158.23129,21.4735,1.32
-158.23069,21.46843,1.67
-158.23502,21.4707,1.5
-158.1624,21.38642,2.09
-158.1638,21.38542,1.66
-158.16217,21.38128,2.2
-158.11855,21.60964,1.58
-158.12918,21.62004,1.99
-158.13115,21.60732,1.28
-158.1374,21.61314,1.23
-158.13231,21.59976,0.88
-158.13944,21.60979,2.33
-158.08456,21.65625,2.14
-158.08241,21.667,1.82
-158.07796,21.66338,1.61
-158.17397,21.59954,1.3
-158.18376,21.60005,1.39
-157.84161,21.263,1.98
-157.83978,21.2684,1.36
-157.83955,21.26771,1.97
-157.83931,21.26935,1.41
-157.84054,21.26891,1.33
-157.84129,21.26406,2.91
-157.83906,21.27018,2.21
-157.83816,21.27087,1.77
-157.8371,21.27213,1.9
-157.8401,21.2676,1.23
-157.84062,21.26969,0.94
-157.83826,21.27099,1.56
-157.83998,21.26529,1.85
-157.84065,21.2647,2.2
-157.83976,21.26641,1.54
-157.84243,21.2652,1.88
-157.84467,21.26756,1.77
-157.83526,21.25409,0.94
-157.83187,21.2518,1.81
-157.7152,21.4278,0.56
-157.704,21.4239,2.84
-157.7124,21.4364,1.57
-157.7015,21.4293,3.04
-157.6941,21.4226,3.91
-157.6943,21.422,4.43
-157.7012,21.4221,3.97
-157.7106,21.4354,4.95
-157.7116,21.4393,2.36
-157.7144,21.4268,2.21
-157.7075,21.4188,2.31
-157.6973,21.4214,2.57
-157.7123,21.4302,4.75
